city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes,candidate_score
hamburg-hamburg,"Otto-von-Bahren-Park, Gebäude T",activity,attraction,{lasertag},{friends},{friends},53.5636894,9.9154885,,,,,medium,indoor,high,false,false,90,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:lasertag,12
hamburg-hamburg,Park Fiction,activity,attraction,{lasertag},{friends},{friends},53.5461929,9.9570813,,,,,medium,indoor,high,false,false,90,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:lasertag,12
hamburg-hamburg,Töpferkrug,activity,bar,{workshop_pottery},"{date,friends}","{date,friends}",53.4858582,10.2145544,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:workshop_pottery,15
hamburg-hamburg,Affenfaust Galerie,activity,gallery,{workshop_pottery},"{date,friends}","{date,friends}",53.5532756,9.9561977,,,https://affenfaustgalerie.de/,,medium,indoor,low,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:workshop_pottery,9
hamburg-hamburg,Daniel und die Kunst,activity,gallery,{workshop_pottery},"{date,friends}","{date,friends}",53.5516459,9.8962416,,,https://www.danielunddiekunst.com,,medium,indoor,low,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:workshop_pottery,9
hamburg-hamburg,Farbfluss Atelier,activity,gallery,{workshop_painting},"{date,friends}","{date,friends}",53.5688477,9.9565815,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:workshop_painting,13
hamburg-hamburg,Habibi Atelier,activity,gallery,{workshop_painting},"{date,friends}","{date,friends}",53.4599993,9.9811498,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:workshop_painting,13
hamburg-hamburg,grafisch Werbeatelier,activity,gallery,{workshop_painting},"{date,friends}","{date,friends}",53.5523267,9.9647551,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:workshop_painting,13
hamburg-hamburg,Tanzschule Tango Chocolate,nightlife,nightclub,{nightclub},"{friends,party}","{friends,party}",53.5788602,10.0457216,,,https://tango-chocolate.de/,,medium,indoor,high,false,true,180,14,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:nightclub,34
hamburg-hamburg,BASEMENT XXV,nightlife,nightclub,{nightclub},"{friends,party}","{friends,party}",53.5534784,10.0151048,,,http://www.basementxxv.de,,medium,indoor,high,false,true,180,14,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:nightclub,30
hamburg-hamburg,Bahnhof Pauli,nightlife,nightclub,{nightclub},"{friends,party}","{friends,party}",53.5490694,9.9641573,,,https://bahnhofpauli.de,,medium,indoor,high,false,true,180,14,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:nightclub,30
hamburg-hamburg,1910 e.V. Weinbar,nightlife,bar,"{nightclub,disco}","{friends,party}","{friends,party}",53.5545459,9.9689931,,,http://www.keinweindenfaschisten.de/,,medium,indoor,high,false,true,180,14,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:disco,14
hamburg-hamburg,20up,nightlife,bar,"{nightclub,disco}","{friends,party}","{friends,party}",53.5472091,9.9633526,,,https://www.empire-riverside.de/de/hotel-restaurant-bars-hamburg/,,medium,indoor,high,false,true,180,14,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:disco,14
hamburg-hamburg,85-Lounge,nightlife,bar,"{nightclub,disco}","{friends,party}","{friends,party}",53.546515,10.0934048,,,http://www.85-lounge.de/,,medium,indoor,high,false,true,180,14,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:disco,14
hamburg-hamburg,Big Döner House,restaurant,fast_food,{late_food},"{friends,party}","{friends,party}",53.4712938,9.8540785,,,,,medium,indoor,late,false,true,30,8,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:late_food,31
hamburg-hamburg,Djengo's Döner,restaurant,fast_food,{late_food},"{friends,party}","{friends,party}",53.5583143,9.9491598,,,,,medium,indoor,late,false,true,30,8,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:late_food,31
hamburg-hamburg,Sel Kebap's,restaurant,fast_food,{late_food},"{friends,party}","{friends,party}",53.5400853,10.1026175,,,,,medium,indoor,late,false,true,30,8,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:late_food,31
