city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes,candidate_score
berlin-berlin,Elektra Boulderhalle,activity,sports_centre,{climbing},"{date,friends}","{date,friends}",52.5410359,13.3868779,,,https://daselektra.de/,,medium,indoor,high,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:climbing,15
berlin-berlin,Lasergame Berlin,activity,sports_centre,{lasertag},{friends},{friends},52.4620074,13.5124714,,,https://www.spielt-lasertag.de/,,medium,indoor,high,false,false,90,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:lasertag,15
berlin-berlin,Laserstar,activity,sports_centre,{lasertag},{friends},{friends},52.4661788,13.4427188,,,,,medium,indoor,high,false,false,90,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:lasertag,15
berlin-berlin,Modellpark Berlin-Brandenburg,activity,attraction,{lasertag},{friends},{friends},52.4675309,13.527843,,,https://www.modellparkberlin.de/,,medium,indoor,high,false,false,90,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:lasertag,12
berlin-berlin,Galerie Amalienpark,activity,gallery,{workshop_pottery},"{date,friends}","{date,friends}",52.5694131,13.402228,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:workshop_pottery,12
berlin-berlin,Galerie im Körnerpark,activity,gallery,{workshop_pottery},"{date,friends}","{date,friends}",52.4711895,13.4366053,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:workshop_pottery,12
berlin-berlin,Haus am Kleistpark,activity,gallery,{workshop_pottery},"{date,friends}","{date,friends}",52.490608,13.3572868,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:workshop_pottery,12
berlin-berlin,Einbildmalen,activity,gallery,{workshop_painting},"{date,friends}","{date,friends}",52.5065979,13.3203744,,,,,medium,indoor,low,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:workshop_painting,21
berlin-berlin,Atelier Freier Fotografen,activity,gallery,{workshop_painting},"{date,friends}","{date,friends}",52.5246551,13.4511428,,,https://www.aff-galerie.de/,,medium,indoor,low,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:workshop_painting,13
berlin-berlin,Atelier Roman Lipski,activity,gallery,{workshop_painting},"{date,friends}","{date,friends}",52.4985518,13.4278571,,,https://www.romanlipski.com/,,medium,indoor,low,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:workshop_painting,13
berlin-berlin,BlackWhite Danceclub,nightlife,nightclub,{nightclub},"{friends,party}","{friends,party}",52.4322129,13.4615989,,,,,medium,indoor,high,false,true,180,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:nightclub,26
berlin-berlin,Sin City Tabledance,nightlife,nightclub,{nightclub},"{friends,party}","{friends,party}",52.5057271,13.3045469,,,,,medium,indoor,high,false,true,180,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:nightclub,26
berlin-berlin,1820,nightlife,nightclub,{nightclub},"{friends,party}","{friends,party}",52.526786,13.4107036,,,https://www.belushis.com/bars/berlin,,medium,indoor,high,false,true,180,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:nightclub,22
berlin-berlin,Top Disco Berlin,nightlife,nightclub,"{nightclub,disco}","{friends,party}","{friends,party}",52.4260543,13.4833923,,,http://topdisco-berlin.de/home/,,medium,indoor,high,false,true,180,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:disco,18
berlin-berlin,Club Night,nightlife,club,"{nightclub,disco}","{friends,party}","{friends,party}",52.523,13.412,,,,,medium,indoor,high,false,true,180,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:disco,18
berlin-berlin,Disconnect Art Gallery and Record Shop,nightlife,gallery,"{nightclub,disco}","{friends,party}","{friends,party}",52.5109844,13.4671354,,,https://disconnectberlin.wordpress.com/,,medium,indoor,high,false,true,180,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:disco,16
berlin-berlin,Döner by Cinar,restaurant,fast_food,{late_food},"{friends,party}","{friends,party}",52.5654266,13.3631319,,,,,medium,indoor,late,false,true,30,8,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:late_food,27
berlin-berlin,Cento Molliche,restaurant,restaurant,{late_food},"{friends,party}","{friends,party}",52.4557918,13.5157243,,,https://centomolliche.de,,medium,indoor,late,false,true,30,8,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:late_food,23
berlin-berlin,Fantasia Pizza Döner,restaurant,fast_food,{late_food},"{friends,party}","{friends,party}",52.548669,13.5036498,,,https://www.fantasiapizzadoener.de/,,medium,indoor,late,false,true,30,8,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:late_food,23
